image_id,candidate_id,image_path,image_width,image_height,x_min,y_min,x_max,y_max,relevance
01d5f5423c70,02f85ef56494,train/01d5f5423c70.jpg,812,414,284,1,340,57,1.0
01d5f5423c70,0307fc49ad97,train/01d5f5423c70.jpg,812,414,56,254,112,310,0.0
01d5f5423c70,059b52f370f6,train/01d5f5423c70.jpg,812,414,284,6,340,62,1.0
01d5f5423c70,0bd0d44ba66a,train/01d5f5423c70.jpg,812,414,286,8,342,64,1.0
01d5f5423c70,103307b0cae7,train/01d5f5423c70.jpg,812,414,309,336,365,392,0.0
01d5f5423c70,13a2ef58e8c9,train/01d5f5423c70.jpg,812,414,284,2,340,58,1.0
01d5f5423c70,21e6325923d3,train/01d5f5423c70.jpg,812,414,148,83,204,139,0.0
01d5f5423c70,25bcb6925fc9,train/01d5f5423c70.jpg,812,414,296,157,352,213,0.0
01d5f5423c70,27290fd5e55f,train/01d5f5423c70.jpg,812,414,534,319,590,375,0.0
01d5f5423c70,28eee457ef71,train/01d5f5423c70.jpg,812,414,444,307,500,363,0.0
01d5f5423c70,2ade999da6be,train/01d5f5423c70.jpg,812,414,77,343,133,399,0.0
01d5f5423c70,2b320484e9b7,train/01d5f5423c70.jpg,812,414,101,174,157,230,0.0
01d5f5423c70,2e389ff424ec,train/01d5f5423c70.jpg,812,414,287,2,343,58,1.0
01d5f5423c70,2ea6dec8e996,train/01d5f5423c70.jpg,812,414,330,227,386,283,0.0
01d5f5423c70,2ffb64503d25,train/01d5f5423c70.jpg,812,414,695,8,751,64,0.0
01d5f5423c70,332b9955b879,train/01d5f5423c70.jpg,812,414,494,259,550,315,0.0
01d5f5423c70,3474141c16b1,train/01d5f5423c70.jpg,812,414,563,338,619,394,0.0
01d5f5423c70,368fdcb4cac4,train/01d5f5423c70.jpg,812,414,311,213,367,269,0.0
01d5f5423c70,387bc2e422d2,train/01d5f5423c70.jpg,812,414,285,5,341,61,1.0
01d5f5423c70,3c5feaa2026e,train/01d5f5423c70.jpg,812,414,134,32,190,88,0.0
01d5f5423c70,3e18bbce1315,train/01d5f5423c70.jpg,812,414,281,5,337,61,1.0
01d5f5423c70,3e5c2ecfa919,train/01d5f5423c70.jpg,812,414,596,208,652,264,0.0
01d5f5423c70,4165244497a4,train/01d5f5423c70.jpg,812,414,284,3,340,59,1.0
01d5f5423c70,4514cc6601ec,train/01d5f5423c70.jpg,812,414,288,5,344,61,1.0
01d5f5423c70,48b78d865862,train/01d5f5423c70.jpg,812,414,279,6,335,62,0.0
01d5f5423c70,4e932dc3cbf6,train/01d5f5423c70.jpg,812,414,57,269,113,325,0.0
01d5f5423c70,4f32d8e2d6d4,train/01d5f5423c70.jpg,812,414,227,71,283,127,0.0
01d5f5423c70,5013a3a19c09,train/01d5f5423c70.jpg,812,414,543,164,599,220,0.0
01d5f5423c70,5057a89457ff,train/01d5f5423c70.jpg,812,414,283,6,339,62,1.0
01d5f5423c70,5148c6f30e84,train/01d5f5423c70.jpg,812,414,139,341,195,397,0.0
01d5f5423c70,566fd4929bad,train/01d5f5423c70.jpg,812,414,286,4,342,60,1.0
01d5f5423c70,577126d4ec0a,train/01d5f5423c70.jpg,812,414,440,4,496,60,0.0
01d5f5423c70,578c47e05389,train/01d5f5423c70.jpg,812,414,546,45,602,101,0.0
01d5f5423c70,5cd20c2b91f6,train/01d5f5423c70.jpg,812,414,336,172,392,228,0.0
01d5f5423c70,6380c3c3a3bb,train/01d5f5423c70.jpg,812,414,717,186,773,242,0.0
01d5f5423c70,6474b006539f,train/01d5f5423c70.jpg,812,414,146,34,202,90,0.0
01d5f5423c70,65cf0b2246fd,train/01d5f5423c70.jpg,812,414,287,3,343,59,1.0
01d5f5423c70,73963ad6df15,train/01d5f5423c70.jpg,812,414,546,235,602,291,0.0
01d5f5423c70,74ac322ea2ea,train/01d5f5423c70.jpg,812,414,94,241,150,297,0.0
01d5f5423c70,7740b4e48465,train/01d5f5423c70.jpg,812,414,286,7,342,63,1.0
01d5f5423c70,77def3b1619d,train/01d5f5423c70.jpg,812,414,365,199,421,255,0.0
01d5f5423c70,7d47ef7ed8fe,train/01d5f5423c70.jpg,812,414,283,5,339,61,1.0
01d5f5423c70,82be360dc9d4,train/01d5f5423c70.jpg,812,414,309,314,365,370,0.0
01d5f5423c70,853a65808065,train/01d5f5423c70.jpg,812,414,610,147,666,203,0.0
01d5f5423c70,86789e66a197,train/01d5f5423c70.jpg,812,414,285,1,341,57,1.0
01d5f5423c70,87a3bd4bea12,train/01d5f5423c70.jpg,812,414,737,292,793,348,0.0
01d5f5423c70,8835d3dbfa59,train/01d5f5423c70.jpg,812,414,282,7,338,63,1.0
01d5f5423c70,8a9d3e00c7ed,train/01d5f5423c70.jpg,812,414,378,295,434,351,0.0
01d5f5423c70,8aa368222e97,train/01d5f5423c70.jpg,812,414,52,352,108,408,0.0
01d5f5423c70,8e60eb8c2722,train/01d5f5423c70.jpg,812,414,658,278,714,334,0.0
01d5f5423c70,93b66dbbafdf,train/01d5f5423c70.jpg,812,414,284,7,340,63,1.0
01d5f5423c70,950a55111886,train/01d5f5423c70.jpg,812,414,189,265,245,321,0.0
01d5f5423c70,9862dd1d1891,train/01d5f5423c70.jpg,812,414,282,4,338,60,1.0
01d5f5423c70,98a3a7750f9e,train/01d5f5423c70.jpg,812,414,7,117,63,173,0.0
01d5f5423c70,a02abe9afc5f,train/01d5f5423c70.jpg,812,414,276,2,332,58,0.0
01d5f5423c70,a7f58696fb4d,train/01d5f5423c70.jpg,812,414,376,298,432,354,0.0
01d5f5423c70,ac096b3f6eda,train/01d5f5423c70.jpg,812,414,282,6,338,62,1.0
